,doch,jedoch,aber,andererseits,allerdings,hingegen
care,9.0,6.0,7.0,0.0,1.0,0.0
careful,0.0,2.0,1.0,0.0,1.0,0.0
carefully,3.0,2.0,5.0,1.0,1.0,0.0
carefully',0.0,0.0,1.0,0.0,0.0,0.0
caribbean,0.0,0.0,0.0,1.0,0.0,0.0
caricature,0.0,0.0,1.0,0.0,0.0,0.0
caricatures,0.0,0.0,1.0,0.0,0.0,0.0
cariforum,0.0,0.0,1.0,0.0,0.0,0.0
carnero,0.0,1.0,0.0,0.0,0.0,0.0
carpenters,1.0,0.0,0.0,0.0,0.0,0.0
carping,1.0,0.0,0.0,0.0,0.0,0.0
carried,4.0,5.0,11.0,0.0,2.0,0.0
carriers,1.0,0.0,0.0,0.0,0.0,0.0
carries,2.0,3.0,2.0,0.0,0.0,0.0
carrot,0.0,0.0,1.0,0.0,0.0,0.0
carry,6.0,4.0,1.0,1.0,0.0,0.0
carrying,0.0,0.0,4.0,0.0,0.0,0.0
cars,1.0,3.0,5.0,1.0,0.0,2.0
cart,0.0,0.0,1.0,0.0,0.0,0.0
cartels,0.0,0.0,1.0,0.0,0.0,1.0
carter,1.0,0.0,0.0,0.0,0.0,0.0
casaca,1.0,0.0,1.0,0.0,0.0,0.0
case,25.0,41.0,94.0,0.0,26.0,4.0
case-law,1.0,0.0,1.0,0.0,0.0,0.0
cases,6.0,21.0,15.0,0.0,1.0,0.0
cases’,1.0,0.0,0.0,0.0,0.0,0.0
cash,0.0,0.0,1.0,0.0,0.0,0.0
cashiers,0.0,0.0,1.0,0.0,0.0,0.0
casino,0.0,0.0,1.0,0.0,0.0,0.0
caspian,0.0,1.0,0.0,0.0,0.0,0.0
cassation,1.0,0.0,0.0,0.0,0.0,0.0
cast,3.0,2.0,2.0,0.0,1.0,0.0
castle,1.0,0.0,0.0,0.0,0.0,0.0
cat,0.0,0.0,1.0,0.0,0.0,0.0
catalogue,0.0,0.0,1.0,0.0,0.0,0.0
catalogued,1.0,0.0,0.0,0.0,0.0,0.0
catalonia,1.0,0.0,0.0,0.0,1.0,0.0
catania,0.0,0.0,1.0,0.0,0.0,0.0
catastrophe,0.0,0.0,2.0,0.0,0.0,0.0
catastrophic,0.0,0.0,1.0,0.0,0.0,0.0
catch,2.0,3.0,2.0,0.0,0.0,0.0
catch;,1.0,0.0,0.0,0.0,0.0,0.0
catches,0.0,0.0,1.0,0.0,1.0,0.0
categorically,1.0,0.0,0.0,0.0,0.0,0.0
categories,0.0,0.0,2.0,0.0,0.0,0.0
category,1.0,1.0,2.0,0.0,1.0,0.0
catered,0.0,0.0,1.0,0.0,0.0,0.0
catering,0.0,0.0,1.0,0.0,0.0,1.0
catholic,0.0,0.0,1.0,1.0,0.0,0.0
cattle,0.0,0.0,1.0,0.0,0.0,0.0
caught,0.0,0.0,1.0,0.0,0.0,0.0
cause,2.0,14.0,9.0,0.0,2.0,0.0
caused,4.0,1.0,2.0,0.0,0.0,0.0
causes,2.0,2.0,7.0,0.0,3.0,0.0
causing,0.0,2.0,1.0,0.0,0.0,0.0
caution,1.0,5.0,7.0,0.0,0.0,0.0
cautious,0.0,3.0,1.0,0.0,1.0,0.0
cautiously,0.0,0.0,2.0,0.0,0.0,0.0
cavada,0.0,0.0,1.0,0.0,0.0,0.0
cavalier,0.0,1.0,0.0,0.0,0.0,0.0
caveats,0.0,0.0,0.0,0.0,1.0,0.0
ccees,1.0,0.0,0.0,0.0,0.0,0.0
ce,0.0,0.0,1.0,0.0,0.0,0.0
cease,1.0,0.0,1.0,0.0,0.0,0.0
cease-fire,0.0,0.0,1.0,0.0,0.0,0.0
ceasefire,0.0,0.0,1.0,0.0,0.0,0.0
ceasing,0.0,0.0,1.0,0.0,0.0,0.0
cecchini,0.0,0.0,1.0,0.0,0.0,0.0
ceiling,1.0,2.0,0.0,0.0,1.0,0.0
ceilings,0.0,0.0,1.0,0.0,0.0,0.0
celebrate,0.0,0.0,1.0,0.0,0.0,0.0
celebration,1.0,0.0,1.0,0.0,0.0,0.0
cell,1.0,0.0,1.0,0.0,0.0,0.0
cells,0.0,4.0,1.0,0.0,0.0,1.0
cement,0.0,0.0,1.0,0.0,0.0,0.0
censorship,0.0,1.0,1.0,0.0,0.0,0.0
censure,1.0,0.0,1.0,0.0,0.0,0.0
censures,0.0,0.0,1.0,0.0,0.0,0.0
cent,1.0,0.0,2.0,0.0,0.0,0.0
centimetres,0.0,0.0,1.0,0.0,0.0,0.0
central,5.0,9.0,15.0,3.0,1.0,1.0
centrally,0.0,0.0,1.0,0.0,0.0,0.0
centre,1.0,2.0,2.0,1.0,0.0,0.0
centres,0.0,1.0,2.0,0.0,0.0,0.0
centuries,0.0,0.0,3.0,0.0,0.0,0.0
century,1.0,1.0,1.0,1.0,1.0,0.0
ceramic,0.0,0.0,1.0,0.0,0.0,0.0
cereal,0.0,0.0,1.0,0.0,0.0,0.0
cereals,0.0,0.0,1.0,0.0,0.0,0.0
certain,17.0,24.0,50.0,1.0,5.0,3.0
certain;,0.0,1.0,0.0,0.0,0.0,0.0
certainly,28.0,28.0,84.0,0.0,25.0,2.0
certainty,1.0,3.0,4.0,0.0,0.0,0.0
certificates,0.0,1.0,0.0,0.0,0.0,0.0
certification,0.0,0.0,1.0,0.0,0.0,0.0
cesr;,0.0,0.0,1.0,0.0,0.0,0.0
cfo,1.0,0.0,0.0,0.0,0.0,0.0
cfp,0.0,1.0,2.0,0.0,0.0,0.0
cfsp,0.0,2.0,0.0,1.0,0.0,0.0
chagos,0.0,0.0,1.0,0.0,0.0,0.0
chain,0.0,2.0,1.0,0.0,0.0,0.0
chains,0.0,0.0,1.0,0.0,0.0,0.0
chair,0.0,0.0,1.0,0.0,0.0,0.0
chair's,1.0,0.0,0.0,0.0,0.0,0.0
chairman,0.0,0.0,1.0,1.0,0.0,0.0
chairmen,0.0,0.0,1.0,0.0,0.0,0.0
challenge,2.0,8.0,11.0,1.0,0.0,0.0
challenges,3.0,6.0,7.0,1.0,0.0,0.0
challenging,0.0,1.0,1.0,0.0,1.0,0.0
chamber,3.0,3.0,14.0,0.0,1.0,0.0
championing,1.0,0.0,0.0,0.0,0.0,0.0
champions,1.0,0.0,0.0,0.0,0.0,0.0
championship,0.0,0.0,1.0,0.0,0.0,0.0
championships,1.0,0.0,0.0,0.0,0.0,0.0
chance,0.0,0.0,4.0,0.0,0.0,0.0
chancellor,1.0,0.0,0.0,0.0,0.0,0.0
chances,0.0,1.0,1.0,0.0,0.0,0.0
change,17.0,13.0,32.0,1.0,2.0,0.0
change',0.0,0.0,1.0,0.0,0.0,0.0
changed,4.0,10.0,9.0,0.0,2.0,0.0
changed;,0.0,0.0,1.0,0.0,0.0,0.0
changeover,1.0,0.0,1.0,0.0,0.0,0.0
changes,5.0,6.0,10.0,0.0,1.0,0.0
changes;,0.0,0.0,1.0,0.0,0.0,0.0
change’,0.0,0.0,1.0,0.0,0.0,0.0
changing,2.0,1.0,2.0,0.0,1.0,0.0
channel,0.0,1.0,2.0,0.0,0.0,0.0
channelled,0.0,1.0,0.0,1.0,0.0,0.0
channels,1.0,0.0,0.0,0.0,1.0,0.0
chaos,0.0,1.0,1.0,0.0,0.0,0.0
chaotic,0.0,1.0,0.0,0.0,0.0,0.0
chapter,2.0,1.0,0.0,0.0,0.0,0.0
chapters,0.0,0.0,1.0,0.0,0.0,0.0
character,2.0,0.0,2.0,0.0,0.0,0.0
characterise,0.0,1.0,0.0,0.0,0.0,0.0
characterised,0.0,1.0,1.0,0.0,0.0,0.0
characteristics,2.0,2.0,2.0,0.0,0.0,0.0
charge,0.0,3.0,3.0,0.0,0.0,0.0
charged,1.0,0.0,2.0,0.0,0.0,0.0
charges,1.0,1.0,4.0,0.0,1.0,0.0
charity,0.0,0.0,2.0,0.0,0.0,0.0
charles,0.0,0.0,1.0,0.0,0.0,0.0
charter,4.0,3.0,7.0,0.0,0.0,0.0
cheap,1.0,1.0,7.0,0.0,0.0,0.0
cheaper,0.0,1.0,5.0,0.0,0.0,0.0
cheaply,0.0,0.0,0.0,0.0,1.0,0.0
cheating,0.0,0.0,0.0,1.0,0.0,0.0
chechen,0.0,0.0,1.0,0.0,0.0,0.0
chechens,0.0,0.0,1.0,0.0,0.0,0.0
chechnya,0.0,0.0,4.0,0.0,0.0,0.0
check,1.0,0.0,4.0,0.0,1.0,0.0
checked,0.0,0.0,1.0,0.0,0.0,0.0
checking,0.0,0.0,1.0,0.0,0.0,0.0
checks,0.0,1.0,0.0,0.0,0.0,0.0
cheek,0.0,0.0,0.0,1.0,0.0,0.0
chemical,1.0,0.0,2.0,1.0,0.0,0.0
chemicals,1.0,1.0,2.0,0.0,0.0,0.0
cheques,0.0,0.0,2.0,0.0,0.0,0.0
chernobyl,0.0,1.0,1.0,0.0,0.0,0.0
chiapas,0.0,0.0,1.0,0.0,0.0,0.0
chichester,0.0,0.0,1.0,0.0,0.0,0.0
chief,0.0,1.0,1.0,0.0,0.0,0.0
chiefly,0.0,1.0,0.0,0.0,0.0,0.0
chigi,0.0,1.0,0.0,0.0,0.0,0.0
child,1.0,1.0,0.0,0.0,0.0,1.0
child-friendly,0.0,0.0,1.0,0.0,0.0,0.0
child-parent,0.0,0.0,1.0,0.0,0.0,0.0
childbirths,0.0,0.0,1.0,0.0,0.0,0.0
childcare,0.0,1.0,0.0,0.0,0.0,0.0
childish,0.0,0.0,1.0,0.0,0.0,0.0
childless,0.0,0.0,1.0,0.0,0.0,0.0
children,4.0,6.0,17.0,0.0,0.0,0.0
chile,2.0,0.0,0.0,0.0,0.0,0.0
china,4.0,2.0,23.0,1.0,3.0,0.0
china’s,0.0,1.0,0.0,0.0,0.0,0.0
chinese,0.0,0.0,3.0,0.0,0.0,0.0
chip,0.0,1.0,0.0,0.0,0.0,0.0
chippendale,1.0,0.0,0.0,0.0,0.0,0.0
chirac,1.0,1.0,0.0,0.0,0.0,0.0
chişinău,0.0,1.0,0.0,0.0,0.0,0.0
chlorine,0.0,0.0,0.0,1.0,0.0,0.0
chocolate,1.0,0.0,1.0,0.0,0.0,0.0
choice,1.0,2.0,6.0,1.0,0.0,0.0
choices,1.0,1.0,0.0,0.0,0.0,0.0
choose,0.0,2.0,3.0,0.0,0.0,0.0
chooses,0.0,1.0,1.0,0.0,0.0,0.0
choosing,0.0,0.0,1.0,0.0,0.0,0.0
chose,1.0,3.0,1.0,0.0,2.0,1.0
chosen,1.0,6.0,5.0,0.0,0.0,0.0
chris,0.0,0.0,1.0,0.0,0.0,0.0
christian,2.0,1.0,2.0,0.0,0.0,0.0
christian-democrats,0.0,0.0,1.0,0.0,0.0,0.0
christianity,1.0,0.0,0.0,0.0,0.0,0.0
christians,0.0,1.0,2.0,0.0,0.0,0.0
christmas,2.0,0.0,0.0,0.0,0.0,0.0
christmas;,0.0,0.0,1.0,0.0,0.0,0.0
chromium,0.0,0.0,1.0,0.0,0.0,0.0
chronic,1.0,0.0,1.0,0.0,0.0,0.0
chronicle,0.0,0.0,0.0,0.0,1.0,0.0
church,0.0,0.0,1.0,1.0,0.0,0.0
churches,0.0,0.0,0.0,0.0,1.0,0.0
cigarillo,0.0,1.0,0.0,0.0,0.0,0.0
circle,0.0,0.0,1.0,0.0,0.0,0.0
circles,1.0,0.0,1.0,0.0,0.0,0.0
circulated,0.0,0.0,1.0,0.0,0.0,0.0
circulates,0.0,0.0,1.0,0.0,0.0,0.0
circulation,0.0,0.0,1.0,1.0,0.0,0.0
circumspect,0.0,1.0,0.0,0.0,0.0,0.0
circumstances,3.0,7.0,11.0,1.0,2.0,0.0
circus,0.0,0.0,1.0,0.0,0.0,0.0
cite,0.0,0.0,1.0,0.0,0.0,0.0
cites,0.0,1.0,0.0,0.0,1.0,0.0
cities,0.0,0.0,4.0,0.0,0.0,0.0
citizen,1.0,2.0,3.0,0.0,0.0,0.0
citizen',0.0,0.0,0.0,1.0,0.0,0.0
citizens,18.0,16.0,43.0,3.0,5.0,0.0
citizens',1.0,1.0,5.0,0.0,0.0,0.0
citizenship,0.0,1.0,0.0,0.0,0.0,0.0
citizens’,0.0,0.0,2.0,0.0,0.0,0.0
citizen”,0.0,0.0,0.0,1.0,0.0,0.0
city,0.0,0.0,5.0,0.0,0.0,0.0
civil,6.0,3.0,7.0,2.0,0.0,0.0
civilian,0.0,1.0,1.0,0.0,0.0,0.0
civilisation,0.0,0.0,1.0,0.0,0.0,0.0
civilisations,1.0,0.0,0.0,0.0,0.0,0.0
claim,1.0,5.0,3.0,0.0,0.0,0.0
claimed,0.0,1.0,1.0,0.0,0.0,0.0
claiming,2.0,0.0,1.0,0.0,0.0,0.0
claims,2.0,4.0,4.0,1.0,0.0,0.0
clarification,0.0,5.0,2.0,0.0,1.0,0.0
clarifications,2.0,0.0,1.0,0.0,0.0,0.0
clarified,2.0,0.0,0.0,0.0,0.0,0.0
clarifies,0.0,0.0,1.0,0.0,0.0,0.0
clarify,4.0,5.0,1.0,0.0,1.0,0.0
clarifying,0.0,1.0,1.0,0.0,1.0,0.0
clarity,1.0,1.0,1.0,0.0,0.0,0.0
clashes,0.0,0.0,1.0,0.0,0.0,0.0
class,0.0,1.0,2.0,0.0,0.0,0.0
classes,1.0,1.0,0.0,0.0,0.0,0.0
classical,0.0,0.0,1.0,0.0,0.0,0.0
classified,0.0,0.0,2.0,0.0,0.0,0.0
claus,0.0,1.0,0.0,0.0,0.0,0.0
clause,2.0,1.0,3.0,0.0,0.0,1.0
clauses,2.0,0.0,2.0,0.0,1.0,0.0
clean,0.0,1.0,3.0,0.0,0.0,0.0
cleaner,0.0,0.0,1.0,0.0,0.0,0.0
cleaning,1.0,0.0,0.0,0.0,0.0,0.0
cleansing,1.0,0.0,1.0,0.0,0.0,0.0
clear,29.0,56.0,55.0,1.0,14.0,0.0
clear-cut,0.0,0.0,1.0,0.0,0.0,0.0
cleared,1.0,0.0,1.0,0.0,0.0,0.0
clearer,0.0,0.0,3.0,0.0,0.0,0.0
clearly,33.0,37.0,32.0,4.0,6.0,0.0
clergy,0.0,0.0,1.0,0.0,0.0,0.0
clever,0.0,1.0,0.0,0.0,0.0,0.0
click,1.0,0.0,1.0,0.0,0.0,0.0
climate,3.0,3.0,11.0,0.0,0.0,0.0
climate-altering,1.0,0.0,0.0,0.0,0.0,0.0
climate-change,0.0,0.0,1.0,0.0,0.0,0.0
climatic,0.0,0.0,2.0,0.0,0.0,0.0
climb,0.0,0.0,1.0,0.0,0.0,0.0
clinton,0.0,0.0,1.0,0.0,0.0,0.0
clones,0.0,0.0,1.0,0.0,0.0,0.0
close,8.0,4.0,10.0,0.0,2.0,0.0
closed,2.0,2.0,6.0,1.0,0.0,0.0
closely,2.0,1.0,6.0,0.0,2.0,0.0
closer,1.0,2.0,9.0,0.0,0.0,1.0
closest,1.0,0.0,0.0,0.0,0.0,0.0
closing,0.0,1.0,2.0,0.0,0.0,0.0
clothing,0.0,0.0,1.0,0.0,0.0,0.0
cloud,0.0,0.0,1.0,0.0,0.0,0.0
clouds,0.0,0.0,1.0,0.0,0.0,0.0
clout,0.0,1.0,0.0,0.0,0.0,0.0
cloven-hoofed,0.0,1.0,0.0,0.0,0.0,0.0
club,0.0,0.0,2.0,0.0,0.0,0.0
clubs,1.0,0.0,0.0,1.0,0.0,0.0
cluster,0.0,0.0,1.0,0.0,0.0,0.0
clusters,0.0,0.0,1.0,0.0,0.0,0.0
co-financing,0.0,1.0,0.0,0.0,0.0,0.0
co-legislator,1.0,0.0,1.0,0.0,0.0,0.0
co-operation,0.0,0.0,1.0,0.0,0.0,0.0
co2,1.0,1.0,6.0,0.0,0.0,0.0
coal,1.0,0.0,0.0,0.0,1.0,0.0
coal-burning,1.0,0.0,0.0,0.0,0.0,0.0
coalition,0.0,0.0,1.0,0.0,0.0,0.0
coals,0.0,0.0,1.0,0.0,0.0,0.0
coast,1.0,0.0,1.0,0.0,0.0,0.0
coastal,0.0,1.0,1.0,0.0,0.0,0.0
coastline,1.0,0.0,0.0,0.0,0.0,0.0
coated,0.0,0.0,1.0,0.0,0.0,0.0
coats,0.0,1.0,0.0,0.0,0.0,0.0
coca-cola,0.0,0.0,1.0,0.0,0.0,0.0
coccidiostats,0.0,0.0,1.0,0.0,0.0,0.0
cocoa,0.0,1.0,0.0,0.0,0.0,0.0
cod,0.0,1.0,0.0,0.0,0.0,0.0
code,3.0,3.0,1.0,1.0,0.0,0.0
codecision,1.0,0.0,1.0,0.0,0.0,0.0
codes,0.0,1.0,1.0,0.0,1.0,0.0
codification,1.0,0.0,0.0,0.0,0.0,0.0
coffin,0.0,1.0,0.0,0.0,0.0,0.0
cofinancing,0.0,1.0,0.0,0.0,0.0,0.0
coherence,2.0,1.0,3.0,1.0,0.0,0.0
coherent,0.0,1.0,2.0,1.0,0.0,0.0
cohesion,2.0,1.0,7.0,3.0,1.0,0.0
cohesion;,0.0,0.0,0.0,1.0,0.0,0.0
cohn-bendit,1.0,1.0,2.0,0.0,0.0,0.0
coin,0.0,4.0,2.0,0.0,0.0,0.0
coincidence,1.0,0.0,1.0,0.0,1.0,0.0
coincineration,1.0,0.0,0.0,0.0,0.0,0.0
coining,0.0,0.0,1.0,0.0,0.0,0.0
coins,1.0,0.0,0.0,0.0,1.0,0.0
cold,1.0,0.0,3.0,0.0,0.0,0.0
collaboration,0.0,0.0,3.0,0.0,0.0,0.0
collaborative,0.0,0.0,1.0,0.0,0.0,0.0
collapsing,0.0,0.0,0.0,0.0,1.0,0.0
collar,0.0,1.0,0.0,0.0,0.0,0.0
colleague,2.0,1.0,4.0,0.0,0.0,0.0
colleagues,2.0,4.0,19.0,0.0,3.0,1.0
colleagues',1.0,0.0,0.0,0.0,0.0,0.0
collect,0.0,0.0,0.0,0.0,1.0,0.0
collected,1.0,0.0,0.0,0.0,0.0,0.0
collection,1.0,1.0,0.0,0.0,0.0,0.0
collective,0.0,1.0,3.0,2.0,0.0,0.0
collectively,0.0,0.0,1.0,0.0,0.0,0.0
college,1.0,0.0,0.0,0.0,0.0,0.0
colleges,0.0,1.0,1.0,0.0,0.0,0.0
collisions,0.0,0.0,1.0,0.0,0.0,0.0
cologne,0.0,0.0,1.0,0.0,0.0,0.0
colombia,0.0,2.0,0.0,0.0,0.0,0.0
colonialism,1.0,0.0,0.0,0.0,0.0,0.0
colonizing,0.0,0.0,1.0,0.0,0.0,0.0
colourful,0.0,0.0,1.0,0.0,0.0,0.0
combat,1.0,3.0,9.0,1.0,0.0,0.0
combated,2.0,0.0,1.0,0.0,0.0,0.0
combating,0.0,0.0,4.0,1.0,0.0,0.0
combatting,0.0,1.0,0.0,0.0,0.0,0.0
combination,1.0,0.0,2.0,0.0,0.0,0.0
combine,0.0,0.0,1.0,0.0,0.0,0.0
combined,1.0,0.0,1.0,0.0,1.0,0.0
combustion,0.0,0.0,1.0,0.0,0.0,0.0
come,14.0,29.0,47.0,3.0,6.0,1.0
comes,5.0,15.0,14.0,0.0,3.0,0.0
comfort,0.0,0.0,1.0,0.0,0.0,0.0
comfortable,1.0,0.0,1.0,0.0,0.0,0.0
comforts,0.0,0.0,1.0,0.0,0.0,0.0
comical,1.0,0.0,1.0,0.0,0.0,0.0
coming,7.0,4.0,14.0,0.0,2.0,0.0
comitology,1.0,0.0,1.0,0.0,0.0,0.0
command,2.0,0.0,0.0,0.0,0.0,0.0
commando,0.0,0.0,1.0,0.0,0.0,0.0
commemorate,1.0,0.0,0.0,0.0,0.0,0.0
commencing,0.0,1.0,0.0,0.0,0.0,0.0
commend,2.0,0.0,1.0,0.0,0.0,0.0
commendable,2.0,0.0,3.0,0.0,0.0,0.0
commendation,0.0,0.0,1.0,0.0,0.0,0.0
commended,0.0,0.0,1.0,0.0,0.0,0.0
commended;,0.0,0.0,1.0,0.0,0.0,0.0
commensurate,0.0,1.0,0.0,0.0,0.0,0.0
comment,1.0,7.0,12.0,0.0,1.0,0.0
comments,4.0,4.0,6.0,0.0,2.0,0.0
commerce,0.0,0.0,1.0,0.0,1.0,0.0
commercial,0.0,1.0,4.0,0.0,0.0,0.0
commission,52.0,105.0,163.0,12.0,26.0,4.0
commission',0.0,0.0,3.0,0.0,1.0,0.0
commission's,6.0,13.0,13.0,3.0,1.0,0.0
commission;,0.0,0.0,3.0,0.0,1.0,0.0
commissioner,14.0,16.0,57.0,0.0,8.0,0.0
commissioner',0.0,0.0,1.0,0.0,0.0,0.0
commissioner's,0.0,0.0,1.0,0.0,0.0,0.0
commissioners,0.0,0.0,4.0,0.0,1.0,0.0
commissioner’s,2.0,0.0,0.0,0.0,0.0,0.0
commissions,1.0,0.0,0.0,0.0,0.0,0.0
commission’s,1.0,3.0,2.0,0.0,0.0,0.0
commit,1.0,1.0,0.0,0.0,0.0,0.0
commitment,2.0,5.0,6.0,1.0,1.0,0.0
commitments,2.0,5.0,9.0,1.0,1.0,0.0
commitology,0.0,0.0,1.0,0.0,0.0,0.0
commits,1.0,0.0,0.0,0.0,0.0,0.0
committed,1.0,6.0,4.0,0.0,1.0,0.0
committee,25.0,33.0,52.0,1.0,5.0,3.0
committee's,0.0,1.0,1.0,0.0,0.0,0.0
committees,2.0,3.0,4.0,0.0,0.0,0.0
committee’s,0.0,0.0,0.0,0.0,1.0,0.0
committing,0.0,1.0,0.0,0.0,0.0,0.0
commodities,0.0,0.0,1.0,0.0,0.0,0.0
commodity,0.0,1.0,0.0,0.0,0.0,0.0
common,13.0,15.0,33.0,2.0,4.0,1.0
commonly,0.0,0.0,0.0,1.0,0.0,0.0
communes,0.0,0.0,0.0,0.0,0.0,1.0
communicate,0.0,0.0,2.0,0.0,0.0,0.0
communication,2.0,5.0,10.0,1.0,2.0,0.0
communications,0.0,0.0,3.0,0.0,1.0,0.0
communist,1.0,0.0,2.0,0.0,0.0,0.0
communities,1.0,1.0,4.0,0.0,0.0,0.0
communitization,0.0,0.0,1.0,0.0,0.0,0.0
community,12.0,14.0,35.0,7.0,3.0,0.0
community-wide,0.0,0.0,1.0,0.0,0.0,0.0
companies,6.0,8.0,16.0,1.0,2.0,2.0
company,4.0,2.0,6.0,1.0,2.0,0.0
company',1.0,0.0,0.0,0.0,0.0,0.0
comparable,2.0,1.0,1.0,0.0,0.0,0.0
comparative,0.0,0.0,2.0,0.0,0.0,0.0
comparatively,0.0,1.0,0.0,0.0,0.0,0.0
compare,0.0,2.0,0.0,0.0,0.0,0.0
compared,2.0,2.0,3.0,1.0,1.0,1.0
compares,0.0,0.0,1.0,0.0,0.0,0.0
comparing,0.0,1.0,0.0,0.0,0.0,0.0
comparison,1.0,1.0,1.0,0.0,0.0,0.0
comparisons,0.0,0.0,3.0,0.0,0.0,0.0
compassion,0.0,0.0,1.0,0.0,0.0,0.0
compatibility,0.0,1.0,0.0,0.0,0.0,0.0
compatible,0.0,0.0,1.0,0.0,1.0,0.0
compel,0.0,1.0,0.0,0.0,0.0,0.0
compelled,0.0,1.0,1.0,0.0,0.0,0.0
compelling,0.0,0.0,1.0,0.0,0.0,0.0
compensate,0.0,1.0,1.0,0.0,1.0,0.0
compensated,0.0,0.0,1.0,0.0,0.0,0.0
compensation,2.0,1.0,3.0,0.0,0.0,1.0
compensatory,0.0,1.0,2.0,0.0,0.0,0.0
compete,1.0,0.0,0.0,0.0,0.0,0.0
competence,1.0,2.0,3.0,0.0,3.0,0.0
competences,1.0,1.0,2.0,1.0,0.0,0.0
competencies,0.0,0.0,1.0,0.0,0.0,0.0
competent,1.0,1.0,3.0,0.0,0.0,0.0
competition,5.0,3.0,29.0,2.0,3.0,0.0
competition;,0.0,0.0,1.0,0.0,0.0,0.0
competitions,0.0,1.0,0.0,0.0,0.0,0.0
competitive,2.0,4.0,5.0,1.0,2.0,0.0
competitiveness,4.0,4.0,8.0,2.0,0.0,0.0
competitors,0.0,0.0,1.0,0.0,0.0,0.0
complacency,1.0,0.0,1.0,0.0,1.0,0.0
complacent,0.0,1.0,1.0,0.0,0.0,0.0
complain,0.0,2.0,2.0,0.0,0.0,0.0
complaining,0.0,1.0,1.0,0.0,0.0,0.0
complaint,0.0,1.0,1.0,0.0,0.0,0.0
complaints,2.0,1.0,2.0,0.0,0.0,0.0
complement,0.0,0.0,2.0,0.0,0.0,0.0
complementarity,0.0,1.0,0.0,1.0,0.0,0.0
complementary,0.0,1.0,1.0,1.0,1.0,0.0
complete,4.0,1.0,5.0,3.0,1.0,1.0
completed,1.0,0.0,4.0,0.0,1.0,0.0
completely,12.0,14.0,18.0,3.0,2.0,0.0
completing,0.0,0.0,1.0,0.0,0.0,0.0
completion,0.0,2.0,2.0,0.0,0.0,0.0
complex,5.0,3.0,7.0,0.0,4.0,0.0
complexities,0.0,1.0,0.0,0.0,0.0,0.0
complexity,1.0,2.0,1.0,0.0,0.0,0.0
compliance,0.0,1.0,5.0,1.0,0.0,0.0
complicated,2.0,4.0,8.0,0.0,1.0,0.0
complicates,0.0,1.0,0.0,0.0,0.0,0.0
complications,0.0,1.0,1.0,0.0,0.0,0.0
complicity,1.0,0.0,0.0,0.0,0.0,0.0
complied,2.0,1.0,1.0,0.0,0.0,0.0
compliment,0.0,1.0,0.0,0.0,0.0,0.0
comply,1.0,1.0,10.0,0.0,0.0,1.0
components,0.0,0.0,4.0,0.0,0.0,0.0
composed,0.0,1.0,1.0,0.0,0.0,0.0
composition,0.0,1.0,0.0,0.0,0.0,0.0
comprehend,1.0,0.0,0.0,0.0,0.0,0.0
comprehensible,2.0,0.0,1.0,1.0,0.0,0.0
comprehensive,1.0,2.0,4.0,0.0,1.0,0.0
comprehensive;,0.0,0.0,1.0,0.0,0.0,0.0
comprise,0.0,0.0,1.0,0.0,0.0,0.0
comprises,0.0,0.0,2.0,0.0,0.0,0.0
compromise,9.0,9.0,18.0,1.0,0.0,0.0
compromised,2.0,0.0,0.0,0.0,0.0,0.0
compromises,2.0,0.0,4.0,1.0,1.0,0.0
compromising,0.0,1.0,0.0,0.0,0.0,0.0
compulsory,1.0,0.0,2.0,0.0,1.0,0.0
computer,0.0,0.0,1.0,0.0,0.0,0.0
computerised,0.0,0.0,1.0,0.0,0.0,0.0
computers,0.0,0.0,1.0,0.0,0.0,0.0
conceal,1.0,3.0,0.0,0.0,0.0,0.0
conceals,0.0,1.0,0.0,0.0,0.0,0.0
concede,0.0,2.0,1.0,0.0,2.0,0.0
conceding,0.0,0.0,0.0,0.0,1.0,0.0
conceivable,0.0,0.0,1.0,0.0,0.0,0.0
concentrate,1.0,3.0,6.0,0.0,0.0,0.0
concentrated,0.0,2.0,1.0,0.0,0.0,0.0
concentrates,1.0,0.0,2.0,0.0,1.0,0.0
concentrating,0.0,0.0,0.0,1.0,0.0,0.0
concentration,1.0,0.0,2.0,1.0,0.0,0.0
concept,2.0,7.0,5.0,1.0,0.0,0.0
conception,0.0,1.0,0.0,0.0,0.0,0.0
concepts,1.0,0.0,1.0,0.0,0.0,0.0
concern,7.0,18.0,22.0,1.0,1.0,2.0
concerned,16.0,48.0,32.0,2.0,18.0,3.0
concerned;,0.0,2.0,0.0,0.0,0.0,0.0
concerning,1.0,5.0,6.0,3.0,1.0,0.0
concerns,6.0,24.0,29.0,0.0,7.0,2.0
concession,2.0,0.0,0.0,0.0,0.0,0.0
concessions,0.0,1.0,2.0,0.0,0.0,0.0
conciliation,3.0,3.0,2.0,0.0,1.0,0.0
conciliatory,0.0,1.0,0.0,0.0,0.0,0.0
concise,1.0,0.0,0.0,0.0,0.0,0.0
concisely,1.0,0.0,0.0,0.0,0.0,0.0
conclude,3.0,4.0,4.0,0.0,1.0,1.0
concluded,0.0,5.0,5.0,0.0,1.0,0.0
concluding,1.0,0.0,2.0,0.0,0.0,0.0
conclusion,8.0,7.0,6.0,0.0,1.0,0.0
conclusions,4.0,4.0,7.0,0.0,1.0,0.0
concrete,0.0,1.0,4.0,1.0,0.0,1.0
